TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        9474.00000        9.15631
TAB:  US_District_of_Columbia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 US_District_of_Columbia Confirmed cc1=  .992781 cc2=  .691270 lx=  7.06631 if=  55 il=  65 3/27/2020  n=  10 now=    9474 end=       1171       271      1225 U=    10.01 T=   68.8 p1= -87.6 p2=   809.1 ed=    92 4/23/2020   x1=  55. x2=  65. y1=  1.38 y2=   .38 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .992781 cc2=  .691270 lx=  7.06831 if=  55 il=  65 3/27/2020  n=  10 now=    9474 end=       1171       271      1225 U=    10.01 T=   68.8 p1= -87.6 p2=   809.1 ed=    92 4/23/2020   x1=  55. x2=  65. y1=  1.38 y2=   .38 BEST
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474     1171     271     1225     3    92 4/23/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .990364 cc2=  .674136 lx=  7.05631 if=  56 il=  65 3/27/2020  n=   9 now=    9474 end=       1160       271      1225 U=     9.86 T=   68.7 p1= -87.8 p2=   816.7 ed=    91 4/22/2020   x1=  56. x2=  65. y1=  1.29 y2=   .37 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .990364 cc2=  .674136 lx=  7.05931 if=  56 il=  65 3/27/2020  n=   9 now=    9474 end=       1160       271      1225 U=     9.86 T=   68.7 p1= -87.8 p2=   816.7 ed=    91 4/22/2020   x1=  56. x2=  65. y1=  1.29 y2=   .37 BEST
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474     1160     271     1225     3    91 4/22/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .986823 cc2=  .653490 lx=  7.18631 if=  57 il=  65 3/27/2020  n=   8 now=    9474 end=       1321       271      1225 U=    10.10 T=   69.6 p1= -86.1 p2=   717.2 ed=    93 4/24/2020   x1=  57. x2=  65. y1=  1.25 y2=   .46 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .986823 cc2=  .653490 lx=  7.18231 if=  57 il=  65 3/27/2020  n=   8 now=    9474 end=       1321       271      1225 U=    10.10 T=   69.6 p1= -86.1 p2=   717.2 ed=    93 4/24/2020   x1=  57. x2=  65. y1=  1.25 y2=   .46 BEST
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474     1321     271     1225     3    93 4/24/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .989658 cc2=  .636105 lx= 11.15631 if=  58 il=  65 3/27/2020  n=   7 now=    9474 end=      70003       271      1225 U=    32.40 T=  120.6 p1= 638.9 p2=    13.5 ed=   197 8/6/2020    x1=  58. x2=  65. y1=  1.93 y2=  1.71     
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474    -         271     1225     3   197 8/6/2020  
AAA2     1 US_District_of_Columbia Confirmed cc1=  .984645 cc2=  .606681 lx= 11.15631 if=  59 il=  65 3/27/2020  n=   6 now=    9474 end=      70003       271      1225 U=    35.68 T=  126.2 p1= 638.9 p2=    13.5 ed=   210 8/19/2020   x1=  59. x2=  65. y1=  1.88 y2=  1.71     
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474    -         271     1225     3   210 8/19/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .995447 cc2=  .587199 lx= 11.15631 if=  60 il=  65 3/27/2020  n=   5 now=    9474 end=      70003       271      1225 U=    30.85 T=  117.9 p1= 638.9 p2=    13.5 ed=   190 7/30/2020   x1=  60. x2=  65. y1=  1.88 y2=  1.71     
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474    -         271     1225     3   190 7/30/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .993746 cc2=  .716396 lx=  7.44631 if=  54 il=  66 3/28/2020  n=  12 now=    9474 end=       1713       304      1225 U=    12.99 T=   73.1 p1= -81.9 p2=   553.1 ed=   103 5/4/2020    x1=  54. x2=  66. y1=  1.47 y2=   .55     
GP: Confirmed US_District_of_Columbia 3/28/2020        66    9474     1713     304     1225     3   103 5/4/2020  
AAA1     1 US_District_of_Columbia Confirmed cc1=  .994450 cc2=  .705775 lx=  7.04631 if=  55 il=  66 3/28/2020  n=  11 now=    9474 end=       1148       304      1225 U=    10.09 T=   68.9 p1= -87.9 p2=   825.3 ed=    92 4/23/2020   x1=  55. x2=  66. y1=  1.38 y2=   .28 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .994450 cc2=  .705775 lx=  7.04831 if=  55 il=  66 3/28/2020  n=  11 now=    9474 end=       1148       304      1225 U=    10.09 T=   68.9 p1= -87.9 p2=   825.3 ed=    92 4/23/2020   x1=  55. x2=  66. y1=  1.38 y2=   .28 BEST
GP: Confirmed US_District_of_Columbia 3/28/2020        66    9474     1148     304     1225     3    92 4/23/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .992780 cc2=  .691268 lx=  7.03631 if=  56 il=  66 3/28/2020  n=  10 now=    9474 end=       1137       304      1225 U=     9.96 T=   68.8 p1= -88.0 p2=   833.2 ed=    92 4/23/2020   x1=  56. x2=  66. y1=  1.28 y2=   .28 BEST
