TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4687.00000        8.45255
TAB:  US_Colorado_Arapahoe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .971235 cc2=  .637902 lx=  4.45255 if=  49 il=  57 3/19/2020  n=   8 now=    4687 end=         85        22         0 U=     8.87 T=   59.7 p1= -98.2 p2=  5514.1 ed=    80 4/11/2020   x1=  49. x2=  57. y1=  1.21 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/19/2020        57    4687       85      22        0     0    80 4/11/2020 
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .958914 cc2=  .605361 lx=  4.45255 if=  50 il=  57 3/19/2020  n=   7 now=    4687 end=         85        22         0 U=     7.76 T=   59.4 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  50. x2=  57. y1=  1.21 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/19/2020        57    4687       85      22        0     0    77 4/8/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .969165 cc2=  .591201 lx=  4.45255 if=  51 il=  57 3/19/2020  n=   6 now=    4687 end=         85        22         0 U=     9.83 T=   60.0 p1= -98.2 p2=  5514.1 ed=    83 4/14/2020   x1=  51. x2=  57. y1=   .92 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/19/2020        57    4687       85      22        0     0    83 4/14/2020 
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .960672 cc2=  .552424 lx=  4.45255 if=  52 il=  57 3/19/2020  n=   5 now=    4687 end=         85        22         0 U=    10.94 T=   60.4 p1= -98.2 p2=  5514.1 ed=    86 4/17/2020   x1=  52. x2=  57. y1=   .77 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/19/2020        57    4687       85      22        0     0    86 4/17/2020 
AAA1     1 US_Colorado_Arapahoe Confirmed cc1=  .987603 cc2=  .698928 lx=  4.45255 if=  47 il=  58 3/20/2020  n=  11 now=    4687 end=         85        29        86 U=     7.79 T=   58.6 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  47. x2=  58. y1=  1.49 y2=   .08 BEST
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .988181 cc2=  .698928 lx=  4.35255 if=  47 il=  58 3/20/2020  n=  11 now=    4687 end=         85        29        86 U=     7.79 T=   58.6 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  47. x2=  58. y1=  1.49 y2=   .08 BEST
