TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       40847.00000       10.61759
TAB:  Colombia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed Colombia 3/15/2020        53   40847      748      34      751     3    83 4/14/2020 
AAA2     1 Colombia Confirmed cc1=  .972034 cc2=  .670523 lx= 12.61759 if=  44 il=  54 3/16/2020  n=  10 now=   40847 end=     301820        54       754 U=    26.32 T=  110.7 p1= 638.9 p2=    13.5 ed=   172 7/12/2020   x1=  44. x2=  54. y1=  2.54 y2=  2.16     
GP: Confirmed Colombia 3/16/2020        54   40847    -          54      754     2   172 7/12/2020 
AAA2     1 Colombia Confirmed cc1=  .981646 cc2=  .665419 lx=  8.68759 if=  45 il=  54 3/16/2020  n=   9 now=   40847 end=       5928        54       754 U=    14.64 T=   76.7 p1= -85.5 p2=   689.1 ed=   111 5/12/2020   x1=  45. x2=  54. y1=  2.16 y2=  1.55     
GP: Confirmed Colombia 3/16/2020        54   40847     5928      54      754     2   111 5/12/2020 
AAA1     1 Colombia Confirmed cc1=  .986977 cc2=  .653644 lx=  6.85759 if=  46 il=  54 3/16/2020  n=   8 now=   40847 end=        951        54       754 U=     9.18 T=   63.7 p1= -97.7 p2=  4295.2 ed=    85 4/16/2020   x1=  46. x2=  54. y1=  1.93 y2=  1.05 BEST
AAA2     1 Colombia Confirmed cc1=  .986977 cc2=  .653644 lx=  6.86059 if=  46 il=  54 3/16/2020  n=   8 now=   40847 end=        951        54       754 U=     9.18 T=   63.7 p1= -97.7 p2=  4295.2 ed=    85 4/16/2020   x1=  46. x2=  54. y1=  1.93 y2=  1.05 BEST
GP: Confirmed Colombia 3/16/2020        54   40847      951      54      754     2    85 4/16/2020 
AAA1     1 Colombia Confirmed cc1=  .985106 cc2=  .631553 lx=  6.61759 if=  47 il=  54 3/16/2020  n=   7 now=   40847 end=        748        54       754 U=     7.58 T=   61.3 p1= -98.2 p2=  5460.8 ed=    79 4/10/2020   x1=  47. x2=  54. y1=  1.89 y2=   .97 BEST
AAA2     1 Colombia Confirmed cc1=  .985200 cc2=  .631553 lx=  6.51759 if=  47 il=  54 3/16/2020  n=   7 now=   40847 end=        748        54       754 U=     7.58 T=   61.3 p1= -98.2 p2=  5460.8 ed=    79 4/10/2020   x1=  47. x2=  54. y1=  1.89 y2=   .97 BEST
