TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14374.00000        9.57318
TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .767649 cc2=  .509451 lx= 11.27318 if=  33 il=  47 3/9/2020   n=  14 now=   14374 end=      78682         2         0 U=   220.62 T=  567.4 p1= 447.4 p2=    18.3 ed=   999 undefine    x1=  33. x2=  47. y1=  2.42 y2=  2.36     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .784465 cc2=  .517203 lx= 11.57318 if=  34 il=  47 3/9/2020   n=  13 now=   14374 end=     106210         2         0 U=   210.49 T=  549.4 p1= 638.9 p2=    13.5 ed=   999 undefine    x1=  34. x2=  47. y1=  2.45 y2=  2.39     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .801784 cc2=  .524434 lx= 11.45318 if=  35 il=  47 3/9/2020   n=  12 now=   14374 end=      94200         2         0 U=   192.22 T=  503.7 p1= 555.3 p2=    15.3 ed=   999 undefine    x1=  35. x2=  47. y1=  2.44 y2=  2.38     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .819346 cc2=  .530671 lx= 11.27318 if=  36 il=  47 3/9/2020   n=  11 now=   14374 end=      78682         2         0 U=   173.34 T=  455.9 p1= 447.4 p2=    18.3 ed=   999 undefine    x1=  36. x2=  47. y1=  2.42 y2=  2.36     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .836660 cc2=  .535149 lx= 11.47318 if=  37 il=  47 3/9/2020   n=  10 now=   14374 end=      96103         2         0 U=   160.47 T=  428.6 p1= 568.6 p2=    15.0 ed=   999 undefine    x1=  37. x2=  47. y1=  2.44 y2=  2.38     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .852803 cc2=  .536575 lx= 10.81318 if=  38 il=  47 3/9/2020   n=   9 now=   14374 end=      49670         2         0 U=   135.85 T=  361.4 p1= 245.6 p2=    28.9 ed=   682 12/4/2021   x1=  38. x2=  47. y1=  2.38 y2=  2.31     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   682 12/4/2021 
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .866025 cc2=  .532692 lx= 10.81318 if=  39 il=  47 3/9/2020   n=   8 now=   14374 end=      49670         2         0 U=   120.76 T=  326.5 p1= 245.6 p2=    28.9 ed=   611 9/24/2021   x1=  39. x2=  47. y1=  2.38 y2=  2.31     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   611 9/24/2021 
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .872872 cc2=  .519318 lx= 11.50318 if=  40 il=  47 3/9/2020   n=   7 now=   14374 end=      99029         2         0 U=   112.63 T=  315.1 p1= 588.9 p2=    14.5 ed=   580 8/24/2021   x1=  40. x2=  47. y1=  2.44 y2=  2.38     
GP: Confirmed US_Arizona_Maricopa 3/9/2020         47   14374    -           2        0     0   580 8/24/2021 
AAA1     1 US_Arizona_Maricopa Confirmed cc1=  .715097 cc2=  .506583 lx= 11.40318 if=  26 il=  48 3/10/2020  n=  22 now=   14374 end=      89605         2     89616 U=   350.82 T=  879.8 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  26. x2=  48. y1=  2.43 y2=  2.37 BEST
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .715097 cc2=  .506583 lx= 11.38218 if=  26 il=  48 3/10/2020  n=  22 now=   14374 end=      89605         2     89616 U=   350.82 T=  879.8 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  26. x2=  48. y1=  2.43 y2=  2.37 BEST
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .726602 cc2=  .513401 lx=  8.93318 if=  27 il=  48 3/10/2020  n=  21 now=   14374 end=       7579         2     89616 U=   260.01 T=  596.4 p1= -47.3 p2=   189.7 ed=   999 undefine    x1=  27. x2=  48. y1=  2.19 y2=  2.11     
