TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4679.00000        8.45084
TAB:  US_New_Jersey_Somerset Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .974532 cc2=  .673020 lx=  5.80084 if=  50 il=  60 3/22/2020  n=  10 now=    4679 end=        330        51       108 U=     8.83 T=   65.5 p1= -92.9 p2=  1417.9 ed=    86 4/17/2020   x1=  50. x2=  60. y1=  1.76 y2=   .63     
GP: Confirmed US_New_Jersey_Somerset 3/22/2020        60    4679      330      51      108     1    86 4/17/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .984700 cc2=  .668472 lx=  5.21084 if=  51 il=  60 3/22/2020  n=   9 now=    4679 end=        183        51       108 U=     6.41 T=   61.6 p1= -96.1 p2=  2556.8 ed=    76 4/7/2020    x1=  51. x2=  60. y1=  1.65 y2=   .25     
GP: Confirmed US_New_Jersey_Somerset 3/22/2020        60    4679      183      51      108     1    76 4/7/2020  
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .990724 cc2=  .657391 lx=  4.86084 if=  52 il=  60 3/22/2020  n=   8 now=    4679 end=        129        51       108 U=     4.83 T=   59.6 p1= -97.2 p2=  3627.1 ed=    71 4/2/2020    x1=  52. x2=  60. y1=  1.58 y2=  -.07     
GP: Confirmed US_New_Jersey_Somerset 3/22/2020        60    4679      129      51      108     1    71 4/2/2020  
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .990167 cc2=  .636614 lx=  4.69084 if=  53 il=  60 3/22/2020  n=   7 now=    4679 end=        108        51       108 U=     3.84 T=   58.9 p1= -97.7 p2=  4332.4 ed=    68 3/30/2020   x1=  53. x2=  60. y1=  1.55 y2=  -.28 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .990167 cc2=  .636614 lx=  4.68584 if=  53 il=  60 3/22/2020  n=   7 now=    4679 end=        108        51       108 U=     3.84 T=   58.9 p1= -97.7 p2=  4332.4 ed=    68 3/30/2020   x1=  53. x2=  60. y1=  1.55 y2=  -.28 BEST
GP: Confirmed US_New_Jersey_Somerset 3/22/2020        60    4679      108      51      108     1    68 3/30/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .991016 cc2=  .613052 lx=  5.33084 if=  54 il=  60 3/22/2020  n=   6 now=    4679 end=        206        51       108 U=     6.13 T=   62.1 p1= -95.6 p2=  2271.4 ed=    76 4/7/2020    x1=  54. x2=  60. y1=  1.31 y2=   .34     
GP: Confirmed US_New_Jersey_Somerset 3/22/2020        60    4679      206      51      108     1    76 4/7/2020  
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .986258 cc2=  .578010 lx=  5.12084 if=  55 il=  60 3/22/2020  n=   5 now=    4679 end=        167        51       108 U=     5.09 T=   60.9 p1= -96.4 p2=  2801.8 ed=    72 4/3/2020    x1=  55. x2=  60. y1=  1.16 y2=   .17     
GP: Confirmed US_New_Jersey_Somerset 3/22/2020        60    4679      167      51      108     1    72 4/3/2020  
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .980371 cc2=  .691696 lx=  6.09084 if=  50 il=  61 3/23/2020  n=  11 now=    4679 end=        441        67       259 U=     9.38 T=   67.0 p1= -90.6 p2=  1061.0 ed=    89 4/20/2020   x1=  50. x2=  61. y1=  1.81 y2=   .63     
GP: Confirmed US_New_Jersey_Somerset 3/23/2020        61    4679      441      67      259     3    89 4/20/2020 
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .988154 cc2=  .686643 lx=  5.56084 if=  51 il=  61 3/23/2020  n=  10 now=    4679 end=        260        67       259 U=     7.09 T=   63.2 p1= -94.4 p2=  1799.6 ed=    79 4/10/2020   x1=  51. x2=  61. y1=  1.72 y2=   .30 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .988155 cc2=  .686643 lx=  5.56284 if=  51 il=  61 3/23/2020  n=  10 now=    4679 end=        260        67       259 U=     7.09 T=   63.2 p1= -94.4 p2=  1799.6 ed=    79 4/10/2020   x1=  51. x2=  61. y1=  1.72 y2=   .30 BEST
GP: Confirmed US_New_Jersey_Somerset 3/23/2020        61    4679      260      67      259     3    79 4/10/2020 
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .992269 cc2=  .676042 lx=  5.23084 if=  52 il=  61 3/23/2020  n=   9 now=    4679 end=        186        67       259 U=     5.53 T=   61.1 p1= -96.0 p2=  2515.6 ed=    74 4/5/2020    x1=  52. x2=  61. y1=  1.65 y2=   .03 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .992270 cc2=  .676042 lx=  5.23484 if=  52 il=  61 3/23/2020  n=   9 now=    4679 end=        186        67       259 U=     5.53 T=   61.1 p1= -96.0 p2=  2515.6 ed=    74 4/5/2020    x1=  52. x2=  61. y1=  1.65 y2=   .03 BEST
