TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       20415.00000        9.92403
TAB:  Dominican_Republic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Dominican_Republic Confirmed cc1=  .927232 cc2=  .638557 lx= 10.93403 if=  41 il=  52 3/14/2020  n=  11 now=   20415 end=      56051        11       377 U=    44.43 T=  147.3 p1= 174.6 p2=    36.4 ed=   252 9/30/2020   x1=  41. x2=  52. y1=  2.39 y2=  2.14     
GP: Confirmed Dominican_Republic 3/14/2020        52   20415    56051      11      377     1   252 9/30/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .910850 cc2=  .609339 lx=  6.82403 if=  42 il=  52 3/14/2020  n=  10 now=   20415 end=        919        11       377 U=    23.10 T=   86.4 p1= -95.5 p2=  2221.4 ed=   140 6/10/2020   x1=  42. x2=  52. y1=  1.92 y2=  1.49     
GP: Confirmed Dominican_Republic 3/14/2020        52   20415      919      11      377     1   140 6/10/2020 
AAA1     1 Dominican_Republic Confirmed cc1=  .880705 cc2=  .564478 lx=  5.92403 if=  43 il=  52 3/14/2020  n=   9 now=   20415 end=        373        11       377 U=    17.35 T=   73.9 p1= -98.2 p2=  5473.2 ed=   114 5/15/2020   x1=  43. x2=  52. y1=  1.78 y2=  1.26 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .880715 cc2=  .564478 lx=  5.82403 if=  43 il=  52 3/14/2020  n=   9 now=   20415 end=        373        11       377 U=    17.35 T=   73.9 p1= -98.2 p2=  5473.2 ed=   114 5/15/2020   x1=  43. x2=  52. y1=  1.78 y2=  1.26 BEST
GP: Confirmed Dominican_Republic 3/14/2020        52   20415      373      11      377     1   114 5/15/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .836387 cc2=  .503054 lx= 11.92403 if=  44 il=  52 3/14/2020  n=   8 now=   20415 end=     150847        11       377 U=    48.59 T=  161.5 p1= 638.9 p2=    13.5 ed=   276 10/24/2020  x1=  44. x2=  52. y1=  2.42 y2=  2.25     
GP: Confirmed Dominican_Republic 3/14/2020        52   20415    -          11      377     1   276 10/24/2020
AAA2     1 Dominican_Republic Confirmed cc1=  .947192 cc2=  .688993 lx= 11.92403 if=  39 il=  53 3/15/2020  n=  14 now=   20415 end=     150847        11       377 U=    62.36 T=  193.6 p1= 638.9 p2=    13.5 ed=   340 12/27/2020  x1=  39. x2=  53. y1=  2.48 y2=  2.25     
