TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6849.00000        8.83186
TAB:  US_New_Jersey_Camden Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_New_Jersey_Camden 3/20/2020        58    6849    -          11        0     0   201 8/10/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .958022 cc2=  .604469 lx= 10.83186 if=  51 il=  58 3/20/2020  n=   7 now=    6849 end=      50607        11         0 U=    27.97 T=  117.7 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  51. x2=  58. y1=  2.38 y2=  2.13     
GP: Confirmed US_New_Jersey_Camden 3/20/2020        58    6849    -          11        0     0   183 7/23/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .938489 cc2=  .560524 lx= 10.83186 if=  52 il=  58 3/20/2020  n=   6 now=    6849 end=      50607        11         0 U=    32.59 T=  127.5 p1= 638.9 p2=    13.5 ed=   204 8/13/2020   x1=  52. x2=  58. y1=  2.32 y2=  2.13     
GP: Confirmed US_New_Jersey_Camden 3/20/2020        58    6849    -          11        0     0   204 8/13/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .941328 cc2=  .533080 lx= 10.83186 if=  53 il=  58 3/20/2020  n=   5 now=    6849 end=      50607        11         0 U=    27.16 T=  115.9 p1= 638.9 p2=    13.5 ed=   180 7/20/2020   x1=  53. x2=  58. y1=  2.32 y2=  2.13     
GP: Confirmed US_New_Jersey_Camden 3/20/2020        58    6849    -          11        0     0   180 7/20/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .955274 cc2=  .666599 lx= 10.83186 if=  48 il=  59 3/21/2020  n=  11 now=    6849 end=      50607        15       126 U=    38.24 T=  139.1 p1= 638.9 p2=    13.5 ed=   229 9/7/2020    x1=  48. x2=  59. y1=  2.38 y2=  2.09     
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849    -          15      126     2   229 9/7/2020  
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .964980 cc2=  .663469 lx= 10.83186 if=  49 il=  59 3/21/2020  n=  10 now=    6849 end=      50607        15       126 U=    34.76 T=  131.8 p1= 638.9 p2=    13.5 ed=   213 8/22/2020   x1=  49. x2=  59. y1=  2.38 y2=  2.09     
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849    -          15      126     2   213 8/22/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .969839 cc2=  .653611 lx= 10.83186 if=  50 il=  59 3/21/2020  n=   9 now=    6849 end=      50607        15       126 U=    31.28 T=  124.5 p1= 638.9 p2=    13.5 ed=   198 8/7/2020    x1=  50. x2=  59. y1=  2.38 y2=  2.09     
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849    -          15      126     2   198 8/7/2020  
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .966729 cc2=  .633396 lx= 10.83186 if=  51 il=  59 3/21/2020  n=   8 now=    6849 end=      50607        15       126 U=    27.81 T=  117.3 p1= 638.9 p2=    13.5 ed=   182 7/22/2020   x1=  51. x2=  59. y1=  2.38 y2=  2.09     
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849    -          15      126     2   182 7/22/2020 
