TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3626.00000        8.19589
TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .896407 cc2=  .518442 lx= 10.19589 if=  45 il=  51 3/13/2020  n=   6 now=    3626 end=      26792         3         0 U=    52.63 T=  167.2 p1= 638.9 p2=    13.5 ed=   291 11/8/2020   x1=  45. x2=  51. y1=  2.32 y2=  2.21     
GP: Confirmed US_Minnesota_Ramsey 3/13/2020        51    3626    -           3        0     0   291 11/8/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .925653 cc2=  .517405 lx=  4.19589 if=  46 il=  51 3/13/2020  n=   5 now=    3626 end=         66         3         0 U=    16.47 T=   69.6 p1= -98.2 p2=  5493.9 ed=   108 5/9/2020    x1=  46. x2=  51. y1=  1.43 y2=  1.13     
GP: Confirmed US_Minnesota_Ramsey 3/13/2020        51    3626       66       3        0     0   108 5/9/2020  
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .904603 cc2=  .571270 lx= 10.19589 if=  44 il=  52 3/14/2020  n=   8 now=    3626 end=      26792         5        66 U=    46.57 T=  152.1 p1= 638.9 p2=    13.5 ed=   262 10/10/2020  x1=  44. x2=  52. y1=  2.32 y2=  2.15     
GP: Confirmed US_Minnesota_Ramsey 3/14/2020        52    3626    -           5       66     1   262 10/10/2020
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .930422 cc2=  .576869 lx= 10.19589 if=  45 il=  52 3/14/2020  n=   7 now=    3626 end=      26792         5        66 U=    40.75 T=  139.6 p1= 638.9 p2=    13.5 ed=   235 9/13/2020   x1=  45. x2=  52. y1=  2.32 y2=  2.15     
GP: Confirmed US_Minnesota_Ramsey 3/14/2020        52    3626    -           5       66     1   235 9/13/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .953479 cc2=  .575515 lx= 10.19589 if=  46 il=  52 3/14/2020  n=   6 now=    3626 end=      26792         5        66 U=    34.92 T=  127.1 p1= 638.9 p2=    13.5 ed=   209 8/18/2020   x1=  46. x2=  52. y1=  2.32 y2=  2.15     
GP: Confirmed US_Minnesota_Ramsey 3/14/2020        52    3626    -           5       66     1   209 8/18/2020 
AAA1     1 US_Minnesota_Ramsey Confirmed cc1=  .968688 cc2=  .560440 lx=  4.83589 if=  47 il=  52 3/14/2020  n=   5 now=    3626 end=        125         5        66 U=    12.36 T=   66.5 p1= -96.6 p2=  2900.8 ed=    95 4/26/2020   x1=  47. x2=  52. y1=  1.58 y2=  1.17 BEST
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .968688 cc2=  .560440 lx=  4.83189 if=  47 il=  52 3/14/2020  n=   5 now=    3626 end=        125         5        66 U=    12.36 T=   66.5 p1= -96.6 p2=  2900.8 ed=    95 4/26/2020   x1=  47. x2=  52. y1=  1.58 y2=  1.17 BEST
GP: Confirmed US_Minnesota_Ramsey 3/14/2020        52    3626      125       5       66     1    95 4/26/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .930145 cc2=  .613917 lx= 10.19589 if=  44 il=  53 3/15/2020  n=   9 now=    3626 end=      26792         5        66 U=    52.39 T=  165.6 p1= 638.9 p2=    13.5 ed=   289 11/6/2020   x1=  44. x2=  53. y1=  2.32 y2=  2.15     
GP: Confirmed US_Minnesota_Ramsey 3/15/2020        53    3626    -           5       66     3   289 11/6/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .948669 cc2=  .615336 lx= 10.19589 if=  45 il=  53 3/15/2020  n=   8 now=    3626 end=      26792         5        66 U=    46.57 T=  153.1 p1= 638.9 p2=    13.5 ed=   263 10/11/2020  x1=  45. x2=  53. y1=  2.32 y2=  2.15     
