TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        8191.00000        9.01079
TAB:  Azerbaijan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 Azerbaijan Confirmed cc1=  .960509 cc2=  .683159 lx=  5.01079 if=  39 il=  51 3/13/2020  n=  12 now=    8191 end=        150        15       151 U=    22.64 T=   69.9 p1= -98.2 p2=  5460.7 ed=   123 5/24/2020   x1=  39. x2=  51. y1=  1.36 y2=   .83 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .960739 cc2=  .683159 lx=  4.91079 if=  39 il=  51 3/13/2020  n=  12 now=    8191 end=        150        15       151 U=    22.64 T=   69.9 p1= -98.2 p2=  5460.7 ed=   123 5/24/2020   x1=  39. x2=  51. y1=  1.36 y2=   .83 BEST
GP: Confirmed Azerbaijan 3/13/2020        51    8191      150      15      151     6   123 5/24/2020 
AAA1     1 Azerbaijan Confirmed cc1=  .956376 cc2=  .667701 lx=  5.01079 if=  40 il=  51 3/13/2020  n=  11 now=    8191 end=        150        15       151 U=    20.75 T=   68.3 p1= -98.2 p2=  5460.7 ed=   117 5/18/2020   x1=  40. x2=  51. y1=  1.36 y2=   .83 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .956717 cc2=  .667701 lx=  4.91079 if=  40 il=  51 3/13/2020  n=  11 now=    8191 end=        150        15       151 U=    20.75 T=   68.3 p1= -98.2 p2=  5460.7 ed=   117 5/18/2020   x1=  40. x2=  51. y1=  1.36 y2=   .83 BEST
GP: Confirmed Azerbaijan 3/13/2020        51    8191      150      15      151     6   117 5/18/2020 
AAA1     1 Azerbaijan Confirmed cc1=  .944882 cc2=  .643371 lx=  5.01079 if=  41 il=  51 3/13/2020  n=  10 now=    8191 end=        150        15       151 U=    18.87 T=   66.7 p1= -98.2 p2=  5460.7 ed=   111 5/12/2020   x1=  41. x2=  51. y1=  1.36 y2=   .83 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .945364 cc2=  .643371 lx=  4.91079 if=  41 il=  51 3/13/2020  n=  10 now=    8191 end=        150        15       151 U=    18.87 T=   66.7 p1= -98.2 p2=  5460.7 ed=   111 5/12/2020   x1=  41. x2=  51. y1=  1.36 y2=   .83 BEST
GP: Confirmed Azerbaijan 3/13/2020        51    8191      150      15      151     6   111 5/12/2020 
AAA1     1 Azerbaijan Confirmed cc1=  .926420 cc2=  .610193 lx=  5.01079 if=  42 il=  51 3/13/2020  n=   9 now=    8191 end=        150        15       151 U=    16.98 T=   65.2 p1= -98.2 p2=  5460.7 ed=   105 5/6/2020    x1=  42. x2=  51. y1=  1.36 y2=   .83 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .927043 cc2=  .610193 lx=  4.91079 if=  42 il=  51 3/13/2020  n=   9 now=    8191 end=        150        15       151 U=    16.98 T=   65.2 p1= -98.2 p2=  5460.7 ed=   105 5/6/2020    x1=  42. x2=  51. y1=  1.36 y2=   .83 BEST
GP: Confirmed Azerbaijan 3/13/2020        51    8191      150      15      151     6   105 5/6/2020  
AAA1     1 Azerbaijan Confirmed cc1=  .940391 cc2=  .607058 lx=  5.39079 if=  43 il=  51 3/13/2020  n=   8 now=    8191 end=        219        15       151 U=    27.23 T=   77.9 p1= -97.3 p2=  3740.2 ed=   142 6/12/2020   x1=  43. x2=  51. y1=  1.28 y2=   .99 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .940391 cc2=  .607058 lx=  5.38979 if=  43 il=  51 3/13/2020  n=   8 now=    8191 end=        219        15       151 U=    27.23 T=   77.9 p1= -97.3 p2=  3740.2 ed=   142 6/12/2020   x1=  43. x2=  51. y1=  1.28 y2=   .99 BEST
GP: Confirmed Azerbaijan 3/13/2020        51    8191      219      15      151     6   142 6/12/2020 
AAA1     1 Azerbaijan Confirmed cc1=  .915743 cc2=  .562190 lx=  5.01079 if=  44 il=  51 3/13/2020  n=   7 now=    8191 end=        150        15       151 U=    20.90 T=   68.4 p1= -98.2 p2=  5460.7 ed=   117 5/18/2020   x1=  44. x2=  51. y1=  1.17 y2=   .83 BEST
AAA2     1 Azerbaijan Confirmed cc1=  .915783 cc2=  .562190 lx=  4.91079 if=  44 il=  51 3/13/2020  n=   7 now=    8191 end=        150        15       151 U=    20.90 T=   68.4 p1= -98.2 p2=  5460.7 ed=   117 5/18/2020   x1=  44. x2=  51. y1=  1.17 y2=   .83 BEST
GP: Confirmed Azerbaijan 3/13/2020        51    8191      150      15      151     6   117 5/18/2020 
