TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      739503.00000       13.51373
TAB:  Brazil Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Brazil Confirmed cc1=  .970900 cc2=  .592882 lx=  9.41373 if=  41 il=  47 3/9/2020   n=   6 now=  739503 end=      13544        25     13660 U=    17.79 T=   79.7 p1= -98.2 p2=  5460.0 ed=   121 5/22/2020   x1=  41. x2=  47. y1=  2.18 y2=  1.84 BEST
GP: Confirmed Brazil 3/9/2020         47  739503    13544      25    13660     3   121 5/22/2020 
AAA1     1 Brazil Confirmed cc1=  .952926 cc2=  .544678 lx=  9.51373 if=  42 il=  47 3/9/2020   n=   5 now=  739503 end=      13544        25     13660 U=    19.57 T=   83.0 p1= -98.2 p2=  5460.0 ed=   129 5/30/2020   x1=  42. x2=  47. y1=  2.10 y2=  1.84 BEST
AAA2     1 Brazil Confirmed cc1=  .953014 cc2=  .544678 lx=  9.41373 if=  42 il=  47 3/9/2020   n=   5 now=  739503 end=      13544        25     13660 U=    19.57 T=   83.0 p1= -98.2 p2=  5460.0 ed=   129 5/30/2020   x1=  42. x2=  47. y1=  2.10 y2=  1.84 BEST
GP: Confirmed Brazil 3/9/2020         47  739503    13544      25    13660     3   129 5/30/2020 
AAA2     1 Brazil Confirmed cc1=  .963229 cc2=  .695968 lx= 15.51373 if=  35 il=  48 3/10/2020  n=  13 now=  739503 end=    5464228        31     13660 U=    51.96 T=  177.5 p1= 638.9 p2=    13.5 ed=   300 11/17/2020  x1=  35. x2=  48. y1=  2.74 y2=  2.49     
GP: Confirmed Brazil 3/10/2020        48  739503    -          31    13660     5   300 11/17/2020
AAA2     1 Brazil Confirmed cc1=  .967427 cc2=  .690077 lx= 15.51373 if=  36 il=  48 3/10/2020  n=  12 now=  739503 end=    5464228        31     13660 U=    47.96 T=  167.5 p1= 638.9 p2=    13.5 ed=   280 10/28/2020  x1=  36. x2=  48. y1=  2.74 y2=  2.49     
GP: Confirmed Brazil 3/10/2020        48  739503    -          31    13660     5   280 10/28/2020
AAA2     1 Brazil Confirmed cc1=  .967158 cc2=  .678483 lx= 15.51373 if=  37 il=  48 3/10/2020  n=  11 now=  739503 end=    5464228        31     13660 U=    43.97 T=  157.5 p1= 638.9 p2=    13.5 ed=   261 10/9/2020   x1=  37. x2=  48. y1=  2.74 y2=  2.49     
GP: Confirmed Brazil 3/10/2020        48  739503    -          31    13660     5   261 10/9/2020 
AAA2     1 Brazil Confirmed cc1=  .960585 cc2=  .659074 lx= 15.51373 if=  38 il=  48 3/10/2020  n=  10 now=  739503 end=    5464228        31     13660 U=    48.90 T=  169.8 p1= 638.9 p2=    13.5 ed=   285 11/2/2020   x1=  38. x2=  48. y1=  2.70 y2=  2.49     
GP: Confirmed Brazil 3/10/2020        48  739503    -          31    13660     5   285 11/2/2020 
AAA1     1 Brazil Confirmed cc1=  .971534 cc2=  .655306 lx=  9.51373 if=  39 il=  48 3/10/2020  n=   9 now=  739503 end=      13544        31     13660 U=    24.19 T=   91.7 p1= -98.2 p2=  5460.0 ed=   148 6/18/2020   x1=  39. x2=  48. y1=  2.18 y2=  1.80 BEST
