TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3064.00000        8.02748
TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_Snohomish Confirmed .           136     3025     3064     3226       52     3113    14433     4131
TAB:  US_Washington_Snohomish Confirmed 6/7/2020    137     3033     3064     3226       49     3113    18395     4358
TAB:  US_Washington_Snohomish Confirmed .           138     3039     3064     3226       48     3113     6056     4471
TAB:  US_Washington_Snohomish Confirmed 6/9/2020    139     3064     3064     3339       35     3113     3679     3452
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .990818 cc2=  .582570 lx= 10.02748 if=  38 il=  43 3/5/2020   n=   5 now=    3064 end=      22640        18         0 U=    14.70 T=   71.9 p1= 638.9 p2=    13.5 ed=   106 5/7/2020    x1=  38. x2=  43. y1=  2.31 y2=  1.97     
GP: Confirmed US_Washington_Snohomish 3/5/2020         43    3064    -          18        0     0   106 5/7/2020  
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .989419 cc2=  .611455 lx=  7.30748 if=  38 il=  44 3/6/2020   n=   6 now=    3064 end=       1491        19      1528 U=    11.63 T=   61.1 p1= -51.3 p2=   205.5 ed=    88 4/19/2020   x1=  38. x2=  44. y1=  1.99 y2=  1.47 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .989419 cc2=  .611455 lx=  7.31148 if=  38 il=  44 3/6/2020   n=   6 now=    3064 end=       1491        19      1528 U=    11.63 T=   61.1 p1= -51.3 p2=   205.5 ed=    88 4/19/2020   x1=  38. x2=  44. y1=  1.99 y2=  1.47 BEST
GP: Confirmed US_Washington_Snohomish 3/6/2020         44    3064     1491      19     1528     1    88 4/19/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .983701 cc2=  .575452 lx= 10.02748 if=  39 il=  44 3/6/2020   n=   5 now=    3064 end=      22640        19      1528 U=    18.12 T=   79.5 p1= 638.9 p2=    13.5 ed=   122 5/23/2020   x1=  39. x2=  44. y1=  2.23 y2=  1.96     
GP: Confirmed US_Washington_Snohomish 3/6/2020         44    3064    -          19     1528     1   122 5/23/2020 
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .992156 cc2=  .638603 lx=  5.66748 if=  38 il=  45 3/7/2020   n=   7 now=    3064 end=        289        27       289 U=     8.04 T=   51.9 p1= -90.6 p2=  1060.2 ed=    70 4/1/2020    x1=  38. x2=  45. y1=  1.73 y2=   .86 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .992156 cc2=  .638603 lx=  5.66348 if=  38 il=  45 3/7/2020   n=   7 now=    3064 end=        289        27       289 U=     8.04 T=   51.9 p1= -90.6 p2=  1060.2 ed=    70 4/1/2020    x1=  38. x2=  45. y1=  1.73 y2=   .86 BEST
GP: Confirmed US_Washington_Snohomish 3/7/2020         45    3064      289      27      289     1    70 4/1/2020  
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .988224 cc2=  .610260 lx=  5.80748 if=  39 il=  45 3/7/2020   n=   6 now=    3064 end=        332        27       289 U=     8.44 T=   52.8 p1= -89.2 p2=   922.9 ed=    72 4/3/2020    x1=  39. x2=  45. y1=  1.63 y2=   .92     
GP: Confirmed US_Washington_Snohomish 3/7/2020         45    3064      332      27      289     1    72 4/3/2020  
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .981099 cc2=  .572851 lx=  6.06748 if=  40 il=  45 3/7/2020   n=   5 now=    3064 end=        431        27       289 U=     9.54 T=   54.7 p1= -85.9 p2=   710.9 ed=    77 4/8/2020    x1=  40. x2=  45. y1=  1.54 y2=  1.02     
GP: Confirmed US_Washington_Snohomish 3/7/2020         45    3064      431      27      289     1    77 4/8/2020  
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .993018 cc2=  .659685 lx=  4.68748 if=  38 il=  46 3/8/2020   n=   8 now=    3064 end=        108        31        55 U=     6.07 T=   47.4 p1= -96.5 p2=  2837.0 ed=    61 3/23/2020   x1=  38. x2=  46. y1=  1.54 y2=   .23     
GP: Confirmed US_Washington_Snohomish 3/8/2020         46    3064      108      31       55     1    61 3/23/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .990301 cc2=  .636748 lx=  4.45748 if=  39 il=  46 3/8/2020   n=   7 now=    3064 end=         86        31        55 U=     5.37 T=   46.1 p1= -97.2 p2=  3562.8 ed=    58 3/20/2020   x1=  39. x2=  46. y1=  1.33 y2=   .02     
