TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6667.00000        8.80493
TAB:  US_Ohio_Franklin Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .995115 cc2=  .617151 lx= 10.80493 if=  56 il=  62 3/24/2020  n=   6 now=    6667 end=      49262        75         0 U=    19.26 T=   98.0 p1= 638.9 p2=    13.5 ed=   143 6/13/2020   x1=  56. x2=  62. y1=  2.18 y2=  1.87     
GP: Confirmed US_Ohio_Franklin 3/24/2020        62    6667    -          75        0     0   143 6/13/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .995187 cc2=  .586939 lx= 10.80493 if=  57 il=  62 3/24/2020  n=   5 now=    6667 end=      49262        75         0 U=    18.49 T=   96.6 p1= 638.9 p2=    13.5 ed=   140 6/10/2020   x1=  57. x2=  62. y1=  2.14 y2=  1.87     
GP: Confirmed US_Ohio_Franklin 3/24/2020        62    6667    -          75        0     0   140 6/10/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .993945 cc2=  .705270 lx= 10.80493 if=  52 il=  63 3/25/2020  n=  11 now=    6667 end=      49262        88      5788 U=    20.56 T=  100.9 p1= 638.9 p2=    13.5 ed=   149 6/19/2020   x1=  52. x2=  63. y1=  2.38 y2=  1.84     
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667    -          88     5788     1   149 6/19/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .992402 cc2=  .690891 lx= 10.80493 if=  53 il=  63 3/25/2020  n=  10 now=    6667 end=      49262        88      5788 U=    23.37 T=  106.1 p1= 638.9 p2=    13.5 ed=   161 7/1/2020    x1=  53. x2=  63. y1=  2.27 y2=  1.84     
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667    -          88     5788     1   161 7/1/2020  
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .997439 cc2=  .681211 lx= 10.80493 if=  54 il=  63 3/25/2020  n=   9 now=    6667 end=      49262        88      5788 U=    21.04 T=  101.8 p1= 638.9 p2=    13.5 ed=   151 6/21/2020   x1=  54. x2=  63. y1=  2.27 y2=  1.84     
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667    -          88     5788     1   151 6/21/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .997432 cc2=  .664099 lx= 10.80493 if=  55 il=  63 3/25/2020  n=   8 now=    6667 end=      49262        88      5788 U=    20.11 T=  100.1 p1= 638.9 p2=    13.5 ed=   147 6/17/2020   x1=  55. x2=  63. y1=  2.24 y2=  1.84     
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667    -          88     5788     1   147 6/17/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .996330 cc2=  .642777 lx= 10.80493 if=  56 il=  63 3/25/2020  n=   7 now=    6667 end=      49262        88      5788 U=    20.80 T=  101.4 p1= 638.9 p2=    13.5 ed=   150 6/20/2020   x1=  56. x2=  63. y1=  2.18 y2=  1.84     
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667    -          88     5788     1   150 6/20/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .995824 cc2=  .617859 lx= 10.80493 if=  57 il=  63 3/25/2020  n=   6 now=    6667 end=      49262        88      5788 U=    20.31 T=  100.5 p1= 638.9 p2=    13.5 ed=   148 6/18/2020   x1=  57. x2=  63. y1=  2.14 y2=  1.84     
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667    -          88     5788     1   148 6/18/2020 
AAA1     1 US_Ohio_Franklin Confirmed cc1=  .994368 cc2=  .586120 lx=  8.65493 if=  58 il=  63 3/25/2020  n=   5 now=    6667 end=       5738        88      5788 U=    13.71 T=   82.6 p1= -13.9 p2=   116.2 ed=   114 5/15/2020   x1=  58. x2=  63. y1=  1.79 y2=  1.43 BEST
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .994368 cc2=  .586120 lx=  8.65193 if=  58 il=  63 3/25/2020  n=   5 now=    6667 end=       5738        88      5788 U=    13.71 T=   82.6 p1= -13.9 p2=   116.2 ed=   114 5/15/2020   x1=  58. x2=  63. y1=  1.79 y2=  1.43 BEST
GP: Confirmed US_Ohio_Franklin 3/25/2020        63    6667     5738      88     5788     1   114 5/15/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .995073 cc2=  .717723 lx= 10.80493 if=  52 il=  64 3/26/2020  n=  12 now=    6667 end=      49262       109       369 U=    21.07 T=  102.2 p1= 638.9 p2=    13.5 ed=   151 6/21/2020   x1=  52. x2=  64. y1=  2.38 y2=  1.81     
GP: Confirmed US_Ohio_Franklin 3/26/2020        64    6667    -         109      369     2   151 6/21/2020 
