TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       15271.00000        9.63371
TAB:  US_Massachusetts_Essex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Massachusetts_Essex 3/20/2020        58   15271    -          29     8180     1   197 8/6/2020  
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .983072 cc2=  .574823 lx= 11.63371 if=  53 il=  58 3/20/2020  n=   5 now=   15271 end=     112838        29      8180 U=    25.93 T=  112.8 p1= 638.9 p2=    13.5 ed=   173 7/13/2020   x1=  53. x2=  58. y1=  2.31 y2=  2.11     
GP: Confirmed US_Massachusetts_Essex 3/20/2020        58   15271    -          29     8180     1   173 7/13/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .990004 cc2=  .688493 lx= 11.63371 if=  49 il=  59 3/21/2020  n=  10 now=   15271 end=     112838        41         0 U=    26.01 T=  112.8 p1= 638.9 p2=    13.5 ed=   174 7/14/2020   x1=  49. x2=  59. y1=  2.45 y2=  2.07     
GP: Confirmed US_Massachusetts_Essex 3/21/2020        59   15271    -          41        0     0   174 7/14/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .986785 cc2=  .670557 lx= 11.63371 if=  50 il=  59 3/21/2020  n=   9 now=   15271 end=     112838        41         0 U=    27.86 T=  116.6 p1= 638.9 p2=    13.5 ed=   182 7/22/2020   x1=  50. x2=  59. y1=  2.39 y2=  2.07     
GP: Confirmed US_Massachusetts_Essex 3/21/2020        59   15271    -          41        0     0   182 7/22/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .984672 cc2=  .651338 lx= 11.63371 if=  51 il=  59 3/21/2020  n=   8 now=   15271 end=     112838        41         0 U=    24.76 T=  110.2 p1= 638.9 p2=    13.5 ed=   168 7/8/2020    x1=  51. x2=  59. y1=  2.39 y2=  2.07     
GP: Confirmed US_Massachusetts_Essex 3/21/2020        59   15271    -          41        0     0   168 7/8/2020  
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .979974 cc2=  .626420 lx= 11.63371 if=  52 il=  59 3/21/2020  n=   7 now=   15271 end=     112838        41         0 U=    29.71 T=  120.5 p1= 638.9 p2=    13.5 ed=   190 7/30/2020   x1=  52. x2=  59. y1=  2.31 y2=  2.07     
GP: Confirmed US_Massachusetts_Essex 3/21/2020        59   15271    -          41        0     0   190 7/30/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .988838 cc2=  .610873 lx= 11.63371 if=  53 il=  59 3/21/2020  n=   6 now=   15271 end=     112838        41         0 U=    25.47 T=  111.7 p1= 638.9 p2=    13.5 ed=   171 7/11/2020   x1=  53. x2=  59. y1=  2.31 y2=  2.07     
GP: Confirmed US_Massachusetts_Essex 3/21/2020        59   15271    -          41        0     0   171 7/11/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .984518 cc2=  .576270 lx= 11.63371 if=  54 il=  59 3/21/2020  n=   5 now=   15271 end=     112838        41         0 U=    26.66 T=  114.2 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  54. x2=  59. y1=  2.26 y2=  2.07     
GP: Confirmed US_Massachusetts_Essex 3/21/2020        59   15271    -          41        0     0   177 7/17/2020 
