TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      142759.00000       11.86891
TAB:  Chile Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 Chile Confirmed cc1=  .973253 cc2=  .657025 lx=  7.86891 if=  41 il=  50 3/12/2020  n=   9 now=  142759 end=       2614        23      2637 U=    17.71 T=   77.5 p1= -98.2 p2=  5461.3 ed=   119 5/20/2020   x1=  41. x2=  50. y1=  2.06 y2=  1.55 BEST
AAA2     1 Chile Confirmed cc1=  .973299 cc2=  .657025 lx=  7.76891 if=  41 il=  50 3/12/2020  n=   9 now=  142759 end=       2614        23      2637 U=    17.71 T=   77.5 p1= -98.2 p2=  5461.3 ed=   119 5/20/2020   x1=  41. x2=  50. y1=  2.06 y2=  1.55 BEST
GP: Confirmed Chile 3/12/2020        50  142759     2614      23     2637     3   119 5/20/2020 
AAA1     1 Chile Confirmed cc1=  .963850 cc2=  .630517 lx=  7.86891 if=  42 il=  50 3/12/2020  n=   8 now=  142759 end=       2614        23      2637 U=    15.74 T=   74.5 p1= -98.2 p2=  5461.3 ed=   111 5/12/2020   x1=  42. x2=  50. y1=  2.06 y2=  1.55 BEST
AAA2     1 Chile Confirmed cc1=  .963944 cc2=  .630517 lx=  7.76891 if=  42 il=  50 3/12/2020  n=   8 now=  142759 end=       2614        23      2637 U=    15.74 T=   74.5 p1= -98.2 p2=  5461.3 ed=   111 5/12/2020   x1=  42. x2=  50. y1=  2.06 y2=  1.55 BEST
GP: Confirmed Chile 3/12/2020        50  142759     2614      23     2637     3   111 5/12/2020 
AAA2     1 Chile Confirmed cc1=  .959774 cc2=  .606220 lx= 13.86891 if=  43 il=  50 3/12/2020  n=   7 now=  142759 end=    1054854        23      2637 U=    46.37 T=  160.0 p1= 638.9 p2=    13.5 ed=   269 10/17/2020  x1=  43. x2=  50. y1=  2.52 y2=  2.37     
GP: Confirmed Chile 3/12/2020        50  142759    -          23     2637     3   269 10/17/2020
AAA2     1 Chile Confirmed cc1=  .972057 cc2=  .594093 lx= 13.86891 if=  44 il=  50 3/12/2020  n=   6 now=  142759 end=    1054854        23      2637 U=    39.74 T=  144.3 p1= 638.9 p2=    13.5 ed=   238 9/16/2020   x1=  44. x2=  50. y1=  2.52 y2=  2.37     
GP: Confirmed Chile 3/12/2020        50  142759    -          23     2637     3   238 9/16/2020 
AAA1     1 Chile Confirmed cc1=  .969880 cc2=  .561632 lx=  7.86891 if=  45 il=  50 3/12/2020  n=   5 now=  142759 end=       2614        23      2637 U=    15.90 T=   74.7 p1= -98.2 p2=  5461.3 ed=   112 5/13/2020   x1=  45. x2=  50. y1=  1.87 y2=  1.55 BEST
AAA2     1 Chile Confirmed cc1=  .969884 cc2=  .561632 lx=  7.76891 if=  45 il=  50 3/12/2020  n=   5 now=  142759 end=       2614        23      2637 U=    15.90 T=   74.7 p1= -98.2 p2=  5461.3 ed=   112 5/13/2020   x1=  45. x2=  50. y1=  1.87 y2=  1.55 BEST
GP: Confirmed Chile 3/12/2020        50  142759     2614      23     2637     3   112 5/13/2020 
AAA2     1 Chile Confirmed cc1=  .978337 cc2=  .676826 lx=  9.79891 if=  41 il=  51 3/13/2020  n=  10 now=  142759 end=      18014        43      2637 U=    20.65 T=   88.1 p1= -87.4 p2=   792.5 ed=   136 6/6/2020    x1=  41. x2=  51. y1=  2.28 y2=  1.80     
GP: Confirmed Chile 3/13/2020        51  142759    18014      43     2637     1   136 6/6/2020  
AAA1     1 Chile Confirmed cc1=  .971830 cc2=  .655602 lx=  8.53891 if=  42 il=  51 3/13/2020  n=   9 now=  142759 end=       5109        43      2637 U=    15.50 T=   75.2 p1= -96.4 p2=  2794.3 ed=   111 5/12/2020   x1=  42. x2=  51. y1=  2.14 y2=  1.56 BEST
AAA2     1 Chile Confirmed cc1=  .971830 cc2=  .655602 lx=  8.53791 if=  42 il=  51 3/13/2020  n=   9 now=  142759 end=       5109        43      2637 U=    15.50 T=   75.2 p1= -96.4 p2=  2794.3 ed=   111 5/12/2020   x1=  42. x2=  51. y1=  2.14 y2=  1.56 BEST
GP: Confirmed Chile 3/13/2020        51  142759     5109      43     2637     1   111 5/12/2020 
AAA2     1 Chile Confirmed cc1=  .968476 cc2=  .635143 lx= 13.86891 if=  43 il=  51 3/13/2020  n=   8 now=  142759 end=    1054854        43      2637 U=    37.91 T=  138.7 p1= 638.9 p2=    13.5 ed=   228 9/6/2020    x1=  43. x2=  51. y1=  2.52 y2=  2.31     
GP: Confirmed Chile 3/13/2020        51  142759    -          43     2637     1   228 9/6/2020  
AAA2     1 Chile Confirmed cc1=  .979473 cc2=  .625920 lx= 13.86891 if=  44 il=  51 3/13/2020  n=   7 now=  142759 end=    1054854        43      2637 U=    33.17 T=  127.7 p1= 638.9 p2=    13.5 ed=   206 8/15/2020   x1=  44. x2=  51. y1=  2.52 y2=  2.31     
GP: Confirmed Chile 3/13/2020        51  142759    -          43     2637     1   206 8/15/2020 
AAA2     1 Chile Confirmed cc1=  .980111 cc2=  .602146 lx= 13.86891 if=  45 il=  51 3/13/2020  n=   6 now=  142759 end=    1054854        43      2637 U=    28.43 T=  116.8 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  45. x2=  51. y1=  2.52 y2=  2.31     
