TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       53185.00000       10.88153
TAB:  Canada_Quebec Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Canada_Quebec Confirmed cc1=  .952024 cc2=  .635785 lx=  6.78153 if=  39 il=  48 3/10/2020  n=   9 now=   53185 end=        974         4       982 U=    40.01 T=  116.2 p1= -98.2 p2=  5460.5 ed=   210 8/19/2020   x1=  39. x2=  48. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/10/2020        48   53185      974       4      982     5   210 8/19/2020 
AAA1     1 Canada_Quebec Confirmed cc1=  .958036 cc2=  .624703 lx=  6.88153 if=  40 il=  48 3/10/2020  n=   8 now=   53185 end=        974         4       982 U=    35.56 T=  108.6 p1= -98.2 p2=  5460.5 ed=   192 8/1/2020    x1=  40. x2=  48. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .958071 cc2=  .624703 lx=  6.78153 if=  40 il=  48 3/10/2020  n=   8 now=   53185 end=        974         4       982 U=    35.56 T=  108.6 p1= -98.2 p2=  5460.5 ed=   192 8/1/2020    x1=  40. x2=  48. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/10/2020        48   53185      974       4      982     5   192 8/1/2020  
AAA1     1 Canada_Quebec Confirmed cc1=  .953646 cc2=  .600092 lx=  6.88153 if=  41 il=  48 3/10/2020  n=   7 now=   53185 end=        974         4       982 U=    31.12 T=  101.0 p1= -98.2 p2=  5460.5 ed=   174 7/14/2020   x1=  41. x2=  48. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .953714 cc2=  .600092 lx=  6.78153 if=  41 il=  48 3/10/2020  n=   7 now=   53185 end=        974         4       982 U=    31.12 T=  101.0 p1= -98.2 p2=  5460.5 ed=   174 7/14/2020   x1=  41. x2=  48. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/10/2020        48   53185      974       4      982     5   174 7/14/2020 
AAA1     1 Canada_Quebec Confirmed cc1=  .931700 cc2=  .553736 lx=  6.88153 if=  42 il=  48 3/10/2020  n=   6 now=   53185 end=        974         4       982 U=    26.67 T=   93.4 p1= -98.2 p2=  5460.5 ed=   156 6/26/2020   x1=  42. x2=  48. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .931817 cc2=  .553736 lx=  6.78153 if=  42 il=  48 3/10/2020  n=   6 now=   53185 end=        974         4       982 U=    26.67 T=   93.4 p1= -98.2 p2=  5460.5 ed=   156 6/26/2020   x1=  42. x2=  48. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/10/2020        48   53185      974       4      982     5   156 6/26/2020 
AAA1     1 Canada_Quebec Confirmed cc1=  .919460 cc2=  .511212 lx=  6.88153 if=  43 il=  48 3/10/2020  n=   5 now=   53185 end=        974         4       982 U=    42.09 T=  119.7 p1= -98.2 p2=  5460.5 ed=   219 8/28/2020   x1=  43. x2=  48. y1=  1.82 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .919483 cc2=  .511212 lx=  6.78153 if=  43 il=  48 3/10/2020  n=   5 now=   53185 end=        974         4       982 U=    42.09 T=  119.7 p1= -98.2 p2=  5460.5 ed=   219 8/28/2020   x1=  43. x2=  48. y1=  1.82 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/10/2020        48   53185      974       4      982     5   219 8/28/2020 
AAA2     1 Canada_Quebec Confirmed cc1=  .934805 cc2=  .657455 lx= 12.88153 if=  37 il=  49 3/11/2020  n=  12 now=   53185 end=     392986         8     18666 U=    68.16 T=  211.2 p1= 638.9 p2=    13.5 ed=   372 1/28/2021   x1=  37. x2=  49. y1=  2.56 y2=  2.38     
GP: Confirmed Canada_Quebec 3/11/2020        49   53185    -           8    18666     1   372 1/28/2021 
AAA2     1 Canada_Quebec Confirmed cc1=  .948124 cc2=  .659449 lx= 12.88153 if=  38 il=  49 3/11/2020  n=  11 now=   53185 end=     392986         8     18666 U=    62.48 T=  197.7 p1= 638.9 p2=    13.5 ed=   345 1/1/2021    x1=  38. x2=  49. y1=  2.56 y2=  2.38     
GP: Confirmed Canada_Quebec 3/11/2020        49   53185    -           8    18666     1   345 1/1/2021  
AAA2     1 Canada_Quebec Confirmed cc1=  .958913 cc2=  .657402 lx= 12.88153 if=  39 il=  49 3/11/2020  n=  10 now=   53185 end=     392986         8     18666 U=    56.80 T=  184.2 p1= 638.9 p2=    13.5 ed=   318 12/5/2020   x1=  39. x2=  49. y1=  2.56 y2=  2.38     
GP: Confirmed Canada_Quebec 3/11/2020        49   53185    -           8    18666     1   318 12/5/2020 
AAA2     1 Canada_Quebec Confirmed cc1=  .965206 cc2=  .648978 lx= 12.88153 if=  40 il=  49 3/11/2020  n=   9 now=   53185 end=     392986         8     18666 U=    51.12 T=  170.7 p1= 638.9 p2=    13.5 ed=   291 11/8/2020   x1=  40. x2=  49. y1=  2.56 y2=  2.38     
GP: Confirmed Canada_Quebec 3/11/2020        49   53185    -           8    18666     1   291 11/8/2020 
AAA2     1 Canada_Quebec Confirmed cc1=  .963811 cc2=  .630477 lx= 12.88153 if=  41 il=  49 3/11/2020  n=   8 now=   53185 end=     392986         8     18666 U=    45.44 T=  157.1 p1= 638.9 p2=    13.5 ed=   264 10/12/2020  x1=  41. x2=  49. y1=  2.56 y2=  2.38     
GP: Confirmed Canada_Quebec 3/11/2020        49   53185    -           8    18666     1   264 10/12/2020
AAA1     1 Canada_Quebec Confirmed cc1=  .950489 cc2=  .596935 lx=  9.81153 if=  42 il=  49 3/11/2020  n=   7 now=   53185 end=      18242         8     18666 U=    29.39 T=  109.1 p1= -65.7 p2=   291.6 ed=   178 7/18/2020   x1=  42. x2=  49. y1=  2.28 y2=  2.05 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .950489 cc2=  .596935 lx=  9.80753 if=  42 il=  49 3/11/2020  n=   7 now=   53185 end=      18242         8     18666 U=    29.39 T=  109.1 p1= -65.7 p2=   291.6 ed=   178 7/18/2020   x1=  42. x2=  49. y1=  2.28 y2=  2.05 BEST
GP: Confirmed Canada_Quebec 3/11/2020        49   53185    18242       8    18666     1   178 7/18/2020 
