TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        7672.00000        8.94533
TAB:  US_Pennsylvania_Montgomery Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Pennsylvania_Montgomery 3/17/2020        55    7672      246      34      141     3    92 4/23/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .987596 cc2=  .654263 lx=  5.27533 if=  47 il=  55 3/17/2020  n=   8 now=    7672 end=        195        34       141 U=    10.81 T=   61.0 p1= -97.5 p2=  3934.4 ed=    86 4/17/2020   x1=  47. x2=  55. y1=  1.30 y2=   .56 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .987596 cc2=  .654263 lx=  5.27633 if=  47 il=  55 3/17/2020  n=   8 now=    7672 end=        195        34       141 U=    10.81 T=   61.0 p1= -97.5 p2=  3934.4 ed=    86 4/17/2020   x1=  47. x2=  55. y1=  1.30 y2=   .56 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/17/2020        55    7672      195      34      141     3    86 4/17/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .983101 cc2=  .629548 lx=  6.33533 if=  48 il=  55 3/17/2020  n=   7 now=    7672 end=        564        34       141 U=    16.85 T=   72.4 p1= -92.6 p2=  1360.3 ed=   112 5/13/2020   x1=  48. x2=  55. y1=  1.45 y2=  1.03     
GP: Confirmed US_Pennsylvania_Montgomery 3/17/2020        55    7672      564      34      141     3   112 5/13/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .976236 cc2=  .598272 lx=  5.24533 if=  49 il=  55 3/17/2020  n=   6 now=    7672 end=        189        34       141 U=    10.47 T=   60.7 p1= -97.5 p2=  4059.3 ed=    85 4/16/2020   x1=  49. x2=  55. y1=  1.11 y2=   .54 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .976236 cc2=  .598272 lx=  5.24333 if=  49 il=  55 3/17/2020  n=   6 now=    7672 end=        189        34       141 U=    10.47 T=   60.7 p1= -97.5 p2=  4059.3 ed=    85 4/16/2020   x1=  49. x2=  55. y1=  1.11 y2=   .54 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/17/2020        55    7672      189      34      141     3    85 4/16/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .965175 cc2=  .556927 lx= 10.94533 if=  50 il=  55 3/17/2020  n=   5 now=    7672 end=      56688        34       141 U=    41.03 T=  137.2 p1= 638.9 p2=    13.5 ed=   234 9/12/2020   x1=  50. x2=  55. y1=  2.13 y2=  2.00     
GP: Confirmed US_Pennsylvania_Montgomery 3/17/2020        55    7672    -          34      141     3   234 9/12/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .993013 cc2=  .691502 lx=  5.92533 if=  46 il=  56 3/18/2020  n=  10 now=    7672 end=        374        42       425 U=    13.70 T=   66.7 p1= -95.1 p2=  2051.3 ed=    99 4/30/2020   x1=  46. x2=  56. y1=  1.51 y2=   .78 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .993013 cc2=  .691502 lx=  5.92533 if=  46 il=  56 3/18/2020  n=  10 now=    7672 end=        374        42       425 U=    13.70 T=   66.7 p1= -95.1 p2=  2051.3 ed=    99 4/30/2020   x1=  46. x2=  56. y1=  1.51 y2=   .78 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/18/2020        56    7672      374      42      425     3    99 4/30/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .990721 cc2=  .674494 lx=  5.78533 if=  47 il=  56 3/18/2020  n=   9 now=    7672 end=        325        42       425 U=    12.63 T=   65.1 p1= -95.8 p2=  2360.6 ed=    94 4/25/2020   x1=  47. x2=  56. y1=  1.43 y2=   .72 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .990721 cc2=  .674494 lx=  5.78233 if=  47 il=  56 3/18/2020  n=   9 now=    7672 end=        325        42       425 U=    12.63 T=   65.1 p1= -95.8 p2=  2360.6 ed=    94 4/25/2020   x1=  47. x2=  56. y1=  1.43 y2=   .72 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/18/2020        56    7672      325      42      425     3    94 4/25/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .988121 cc2=  .654788 lx=  7.04533 if=  48 il=  56 3/18/2020  n=   8 now=    7672 end=       1147        42       425 U=    19.69 T=   79.6 p1= -85.0 p2=   668.9 ed=   126 5/27/2020   x1=  48. x2=  56. y1=  1.60 y2=  1.20     
GP: Confirmed US_Pennsylvania_Montgomery 3/18/2020        56    7672     1147      42      425     3   126 5/27/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .983883 cc2=  .630330 lx=  5.98533 if=  49 il=  56 3/18/2020  n=   7 now=    7672 end=        397        42       425 U=    13.41 T=   66.9 p1= -94.8 p2=  1932.5 ed=    98 4/29/2020   x1=  49. x2=  56. y1=  1.33 y2=   .81 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .983883 cc2=  .630330 lx=  5.98133 if=  49 il=  56 3/18/2020  n=   7 now=    7672 end=        397        42       425 U=    13.41 T=   66.9 p1= -94.8 p2=  1932.5 ed=    98 4/29/2020   x1=  49. x2=  56. y1=  1.33 y2=   .81 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/18/2020        56    7672      397      42      425     3    98 4/29/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .978304 cc2=  .600339 lx= 10.94533 if=  50 il=  56 3/18/2020  n=   6 now=    7672 end=      56688        42       425 U=    39.80 T=  134.6 p1= 638.9 p2=    13.5 ed=   228 9/6/2020    x1=  50. x2=  56. y1=  2.13 y2=  1.98     
GP: Confirmed US_Pennsylvania_Montgomery 3/18/2020        56    7672    -          42      425     3   228 9/6/2020  
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .965056 cc2=  .556808 lx= 10.94533 if=  51 il=  56 3/18/2020  n=   5 now=    7672 end=      56688        42       425 U=    44.99 T=  144.9 p1= 638.9 p2=    13.5 ed=   251 9/29/2020   x1=  51. x2=  56. y1=  2.09 y2=  1.98     
GP: Confirmed US_Pennsylvania_Montgomery 3/18/2020        56    7672    -          42      425     3   251 9/29/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .993690 cc2=  .705015 lx=  7.42533 if=  46 il=  57 3/19/2020  n=  11 now=    7672 end=       1677        55      1558 U=    19.33 T=   80.8 p1= -78.1 p2=   457.5 ed=   126 5/27/2020   x1=  46. x2=  57. y1=  1.80 y2=  1.23 BEST
