TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      207693.00000       12.24382
TAB:  US_New_York_NYC Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_York_NYC Confirmed cc1=  .924517 cc2=  .516269 lx= 14.24382 if=  44 il=  49 3/11/2020  n=   5 now=  207693 end=    1534655        57      3836 U=    33.44 T=  126.7 p1= 638.9 p2=    13.5 ed=   205 8/14/2020   x1=  44. x2=  49. y1=  2.47 y2=  2.32     
GP: Confirmed US_New_York_NYC 3/11/2020        49  207693    -          57     3836     3   205 8/14/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .975728 cc2=  .674216 lx= 12.94382 if=  40 il=  50 3/12/2020  n=  10 now=  207693 end=     418242       100     11509 U=    22.74 T=   98.2 p1= 101.4 p2=    49.7 ed=   151 6/21/2020   x1=  40. x2=  50. y1=  2.56 y2=  2.12     
GP: Confirmed US_New_York_NYC 3/12/2020        50  207693   418242     100    11509     1   151 6/21/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .974644 cc2=  .658416 lx= 10.02382 if=  41 il=  50 3/12/2020  n=   9 now=  207693 end=      22557       100     11509 U=    14.63 T=   74.7 p1= -89.1 p2=   920.7 ed=   109 5/10/2020   x1=  41. x2=  50. y1=  2.30 y2=  1.69     
GP: Confirmed US_New_York_NYC 3/12/2020        50  207693    22557     100    11509     1   109 5/10/2020 
AAA1     1 US_New_York_NYC Confirmed cc1=  .966170 cc2=  .632837 lx=  9.01382 if=  42 il=  50 3/12/2020  n=   8 now=  207693 end=       8215       100     11509 U=    11.19 T=   66.6 p1= -96.0 p2=  2528.2 ed=    92 4/23/2020   x1=  42. x2=  50. y1=  2.20 y2=  1.48 BEST
AAA2     1 US_New_York_NYC Confirmed cc1=  .966170 cc2=  .632837 lx=  9.01582 if=  42 il=  50 3/12/2020  n=   8 now=  207693 end=       8215       100     11509 U=    11.19 T=   66.6 p1= -96.0 p2=  2528.2 ed=    92 4/23/2020   x1=  42. x2=  50. y1=  2.20 y2=  1.48 BEST
GP: Confirmed US_New_York_NYC 3/12/2020        50  207693     8215     100    11509     1    92 4/23/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .962690 cc2=  .609136 lx= 14.24382 if=  43 il=  50 3/12/2020  n=   7 now=  207693 end=    1534655       100     11509 U=    24.29 T=  105.0 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  43. x2=  50. y1=  2.55 y2=  2.27     
GP: Confirmed US_New_York_NYC 3/12/2020        50  207693    -         100    11509     1   162 7/2/2020  
AAA2     1 US_New_York_NYC Confirmed cc1=  .943742 cc2=  .565778 lx= 14.24382 if=  44 il=  50 3/12/2020  n=   6 now=  207693 end=    1534655       100     11509 U=    29.10 T=  115.9 p1= 638.9 p2=    13.5 ed=   184 7/24/2020   x1=  44. x2=  50. y1=  2.47 y2=  2.27     
GP: Confirmed US_New_York_NYC 3/12/2020        50  207693    -         100    11509     1   184 7/24/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .971018 cc2=  .562770 lx= 14.24382 if=  45 il=  50 3/12/2020  n=   5 now=  207693 end=    1534655       100     11509 U=    24.25 T=  104.9 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  45. x2=  50. y1=  2.47 y2=  2.27     
GP: Confirmed US_New_York_NYC 3/12/2020        50  207693    -         100    11509     1   162 7/2/2020  
AAA2     1 US_New_York_NYC Confirmed cc1=  .980692 cc2=  .692017 lx= 14.24382 if=  40 il=  51 3/13/2020  n=  11 now=  207693 end=    1534655       162     95915 U=    24.89 T=  106.1 p1= 638.9 p2=    13.5 ed=   164 7/4/2020    x1=  40. x2=  51. y1=  2.66 y2=  2.21     
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693    -         162    95915     1   164 7/4/2020  
AAA2     1 US_New_York_NYC Confirmed cc1=  .980144 cc2=  .678632 lx= 12.88382 if=  41 il=  51 3/13/2020  n=  10 now=  207693 end=     393885       162     95915 U=    19.91 T=   91.9 p1=  89.6 p2=    52.7 ed=   138 6/8/2020    x1=  41. x2=  51. y1=  2.56 y2=  2.05     
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693   393885     162    95915     1   138 6/8/2020  
AAA1     1 US_New_York_NYC Confirmed cc1=  .974139 cc2=  .657911 lx= 11.43382 if=  42 il=  51 3/13/2020  n=   9 now=  207693 end=      92393       162     95915 U=    15.29 T=   79.2 p1= -55.5 p2=   224.8 ed=   115 5/16/2020   x1=  42. x2=  51. y1=  2.44 y2=  1.85 BEST
AAA2     1 US_New_York_NYC Confirmed cc1=  .974139 cc2=  .657911 lx= 11.43182 if=  42 il=  51 3/13/2020  n=   9 now=  207693 end=      92393       162     95915 U=    15.29 T=   79.2 p1= -55.5 p2=   224.8 ed=   115 5/16/2020   x1=  42. x2=  51. y1=  2.44 y2=  1.85 BEST
