TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3186.00000        8.06652
TAB:  US_Kentucky_Jefferson Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .980587 cc2=  .664360 lx=  4.06652 if=  48 il=  57 3/19/2020  n=   9 now=    3186 end=         58         8         0 U=    12.57 T=   65.6 p1= -98.2 p2=  5493.1 ed=    95 4/26/2020   x1=  48. x2=  57. y1=  1.40 y2=   .69     
GP: Confirmed US_Kentucky_Jefferson 3/19/2020        57    3186       58       8        0     0    95 4/26/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .975141 cc2=  .641808 lx=  4.06652 if=  49 il=  57 3/19/2020  n=   8 now=    3186 end=         58         8         0 U=    11.17 T=   64.7 p1= -98.2 p2=  5493.1 ed=    91 4/22/2020   x1=  49. x2=  57. y1=  1.40 y2=   .69     
GP: Confirmed US_Kentucky_Jefferson 3/19/2020        57    3186       58       8        0     0    91 4/22/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .968403 cc2=  .614849 lx=  4.06652 if=  50 il=  57 3/19/2020  n=   7 now=    3186 end=         58         8         0 U=    13.23 T=   66.1 p1= -98.2 p2=  5493.1 ed=    97 4/28/2020   x1=  50. x2=  57. y1=  1.22 y2=   .69     
GP: Confirmed US_Kentucky_Jefferson 3/19/2020        57    3186       58       8        0     0    97 4/28/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .954252 cc2=  .576287 lx=  4.06652 if=  51 il=  57 3/19/2020  n=   6 now=    3186 end=         58         8         0 U=    11.34 T=   64.8 p1= -98.2 p2=  5493.1 ed=    91 4/22/2020   x1=  51. x2=  57. y1=  1.22 y2=   .69     
GP: Confirmed US_Kentucky_Jefferson 3/19/2020        57    3186       58       8        0     0    91 4/22/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .954164 cc2=  .545916 lx=  4.06652 if=  52 il=  57 3/19/2020  n=   5 now=    3186 end=         58         8         0 U=    16.71 T=   68.5 p1= -98.2 p2=  5493.1 ed=   107 5/8/2020    x1=  52. x2=  57. y1=   .99 y2=   .69     
GP: Confirmed US_Kentucky_Jefferson 3/19/2020        57    3186       58       8        0     0   107 5/8/2020  
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .962491 cc2=  .673816 lx= 10.06652 if=  47 il=  58 3/20/2020  n=  11 now=    3186 end=      23541        25         0 U=    28.55 T=  112.9 p1= 638.9 p2=    13.5 ed=   180 7/20/2020   x1=  47. x2=  58. y1=  2.31 y2=  1.92     
GP: Confirmed US_Kentucky_Jefferson 3/20/2020        58    3186    -          25        0     0   180 7/20/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .961950 cc2=  .660439 lx= 10.06652 if=  48 il=  58 3/20/2020  n=  10 now=    3186 end=      23541        25         0 U=    25.95 T=  107.9 p1= 638.9 p2=    13.5 ed=   169 7/9/2020    x1=  48. x2=  58. y1=  2.31 y2=  1.92     
GP: Confirmed US_Kentucky_Jefferson 3/20/2020        58    3186    -          25        0     0   169 7/9/2020  
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .953403 cc2=  .637175 lx= 10.06652 if=  49 il=  58 3/20/2020  n=   9 now=    3186 end=      23541        25         0 U=    23.36 T=  102.9 p1= 638.9 p2=    13.5 ed=   158 6/28/2020   x1=  49. x2=  58. y1=  2.31 y2=  1.92     
GP: Confirmed US_Kentucky_Jefferson 3/20/2020        58    3186    -          25        0     0   158 6/28/2020 
