TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6595.00000        8.79407
TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 US_New_York_Erie Confirmed cc1=  .986609 cc2=  .608645 lx=  4.79407 if=  54 il=  60 3/22/2020  n=   6 now=    6595 end=        120        56       119 U=     4.58 T=   58.8 p1= -98.2 p2=  5495.8 ed=    69 3/31/2020   x1=  54. x2=  60. y1=  1.05 y2=  -.26 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .987100 cc2=  .608645 lx=  4.69407 if=  54 il=  60 3/22/2020  n=   6 now=    6595 end=        120        56       119 U=     4.58 T=   58.8 p1= -98.2 p2=  5495.8 ed=    69 3/31/2020   x1=  54. x2=  60. y1=  1.05 y2=  -.26 BEST
GP: Confirmed US_New_York_Erie 3/22/2020        60    6595      120      56      119     3    69 3/31/2020 
AAA1     1 US_New_York_Erie Confirmed cc1=  .979079 cc2=  .570831 lx=  4.79407 if=  55 il=  60 3/22/2020  n=   5 now=    6595 end=        120        56       119 U=     4.40 T=   58.8 p1= -98.2 p2=  5495.8 ed=    69 3/31/2020   x1=  55. x2=  60. y1=   .87 y2=  -.26 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .980239 cc2=  .570831 lx=  4.69407 if=  55 il=  60 3/22/2020  n=   5 now=    6595 end=        120        56       119 U=     4.40 T=   58.8 p1= -98.2 p2=  5495.8 ed=    69 3/31/2020   x1=  55. x2=  60. y1=   .87 y2=  -.26 BEST
GP: Confirmed US_New_York_Erie 3/22/2020        60    6595      120      56      119     3    69 3/31/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .990568 cc2=  .674340 lx=  6.03407 if=  52 il=  61 3/23/2020  n=   9 now=    6595 end=        417        87       279 U=     7.85 T=   64.5 p1= -93.7 p2=  1581.5 ed=    83 4/14/2020   x1=  52. x2=  61. y1=  1.60 y2=   .45     
GP: Confirmed US_New_York_Erie 3/23/2020        61    6595      417      87      279     1    83 4/14/2020 
AAA1     1 US_New_York_Erie Confirmed cc1=  .990806 cc2=  .657472 lx=  5.64407 if=  53 il=  61 3/23/2020  n=   8 now=    6595 end=        282        87       279 U=     5.93 T=   62.0 p1= -95.7 p2=  2338.7 ed=    75 4/6/2020    x1=  53. x2=  61. y1=  1.51 y2=   .16 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .990806 cc2=  .657472 lx=  5.64107 if=  53 il=  61 3/23/2020  n=   8 now=    6595 end=        282        87       279 U=     5.93 T=   62.0 p1= -95.7 p2=  2338.7 ed=    75 4/6/2020    x1=  53. x2=  61. y1=  1.51 y2=   .16 BEST
GP: Confirmed US_New_York_Erie 3/23/2020        61    6595      282      87      279     1    75 4/6/2020  
AAA2     1 US_New_York_Erie Confirmed cc1=  .987505 cc2=  .633952 lx=  5.91407 if=  54 il=  61 3/23/2020  n=   7 now=    6595 end=        370        87       279 U=     6.94 T=   63.6 p1= -94.4 p2=  1782.4 ed=    79 4/10/2020   x1=  54. x2=  61. y1=  1.38 y2=   .37     
GP: Confirmed US_New_York_Erie 3/23/2020        61    6595      370      87      279     1    79 4/10/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .981201 cc2=  .603237 lx=  5.93407 if=  55 il=  61 3/23/2020  n=   6 now=    6595 end=        377        87       279 U=     6.83 T=   63.6 p1= -94.3 p2=  1749.3 ed=    79 4/10/2020   x1=  55. x2=  61. y1=  1.26 y2=   .38     
GP: Confirmed US_New_York_Erie 3/23/2020        61    6595      377      87      279     1    79 4/10/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .972645 cc2=  .564397 lx=  7.51407 if=  56 il=  61 3/23/2020  n=   5 now=    6595 end=       1833        87       279 U=    12.70 T=   75.2 p1= -72.2 p2=   359.8 ed=   105 5/6/2020    x1=  56. x2=  61. y1=  1.51 y2=  1.11     
GP: Confirmed US_New_York_Erie 3/23/2020        61    6595     1833      87      279     1   105 5/6/2020  
AAA1     1 US_New_York_Erie Confirmed cc1=  .992540 cc2=  .691029 lx=  6.52407 if=  52 il=  62 3/24/2020  n=  10 now=    6595 end=        681       114       609 U=     9.01 T=   67.2 p1= -89.7 p2=   968.4 ed=    88 4/19/2020   x1=  52. x2=  62. y1=  1.69 y2=   .58 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .992540 cc2=  .691029 lx=  6.52807 if=  52 il=  62 3/24/2020  n=  10 now=    6595 end=        681       114       609 U=     9.01 T=   67.2 p1= -89.7 p2=   968.4 ed=    88 4/19/2020   x1=  52. x2=  62. y1=  1.69 y2=   .58 BEST
GP: Confirmed US_New_York_Erie 3/24/2020        62    6595      681     114      609     2    88 4/19/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .992355 cc2=  .676127 lx=  6.16407 if=  53 il=  62 3/24/2020  n=   9 now=    6595 end=        475       114       609 U=     7.11 T=   64.5 p1= -92.8 p2=  1388.4 ed=    81 4/12/2020   x1=  53. x2=  62. y1=  1.62 y2=   .36     
GP: Confirmed US_New_York_Erie 3/24/2020        62    6595      475     114      609     2    81 4/12/2020 
AAA1     1 US_New_York_Erie Confirmed cc1=  .990511 cc2=  .657178 lx=  6.59407 if=  54 il=  62 3/24/2020  n=   8 now=    6595 end=        730       114       609 U=     8.72 T=   67.4 p1= -88.9 p2=   903.4 ed=    87 4/18/2020   x1=  54. x2=  62. y1=  1.54 y2=   .62 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .990511 cc2=  .657178 lx=  6.59807 if=  54 il=  62 3/24/2020  n=   8 now=    6595 end=        730       114       609 U=     8.72 T=   67.4 p1= -88.9 p2=   903.4 ed=    87 4/18/2020   x1=  54. x2=  62. y1=  1.54 y2=   .62 BEST
GP: Confirmed US_New_York_Erie 3/24/2020        62    6595      730     114      609     2    87 4/18/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .986524 cc2=  .632971 lx=  6.77407 if=  55 il=  62 3/24/2020  n=   7 now=    6595 end=        874       114       609 U=     9.16 T=   68.5 p1= -86.7 p2=   754.6 ed=    90 4/21/2020   x1=  55. x2=  62. y1=  1.48 y2=   .71     
GP: Confirmed US_New_York_Erie 3/24/2020        62    6595      874     114      609     2    90 4/21/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .982592 cc2=  .604628 lx=  9.92407 if=  56 il=  62 3/24/2020  n=   6 now=    6595 end=      20415       114       609 U=    20.74 T=   96.1 p1= 209.6 p2=    32.3 ed=   145 6/15/2020   x1=  56. x2=  62. y1=  1.94 y2=  1.65     
GP: Confirmed US_New_York_Erie 3/24/2020        62    6595    -         114      609     2   145 6/15/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .972362 cc2=  .564113 lx= 10.79407 if=  57 il=  62 3/24/2020  n=   5 now=    6595 end=      48730       114       609 U=    23.99 T=  105.2 p1= 638.9 p2=    13.5 ed=   161 7/1/2020    x1=  57. x2=  62. y1=  2.01 y2=  1.80     
GP: Confirmed US_New_York_Erie 3/24/2020        62    6595    -         114      609     2   161 7/1/2020  
